fir_id,fir_number,crime_type,ipc_sections,station_id,district,occurred_at,reported_at,hour_of_day,status,modus_operandi,latitude,longitude
F2220,2220,Chain snatching,"IPC 379, 356",ST00018,Whitefield,2026-01-13T22:36:00,2026-01-14T11:36:00,22,Open,evening market snatch,12.95517,77.78324
F2221,2221,Mobile theft,IPC 379,ST00030,Electronic City,2026-05-10T14:07:00,2026-05-12T00:07:00,14,Open,bus snatch,12.8178,77.66871
F2222,2222,Online fraud,"IT Act 66C, 66D; IPC 420",ST00049,Belagavi,2026-01-04T14:57:00,2026-01-04T15:57:00,14,Charge-sheeted,OTP scam,15.82675,74.4754
F2223,2223,Mobile theft,IPC 379,ST00040,Mangaluru,2026-06-06T19:00:00,2026-06-08T05:00:00,19,Under investigation,shop-counter lift,12.89042,74.8649
F2224,2224,Assault,"IPC 323, 324",ST00029,Yelahanka,2026-06-10T19:52:00,2026-06-11T04:52:00,19,Under investigation,street altercation,13.10914,77.57122
F2225,2225,Mobile theft,IPC 379,ST00037,Mysuru,2026-03-18T12:53:00,2026-03-20T00:53:00,12,Open,bus snatch,12.31055,76.63475
F2226,2226,Online fraud,"IT Act 66C, 66D; IPC 420",ST00017,Rajajinagar,2026-01-31T12:46:00,2026-02-01T17:46:00,12,Open,OTP scam,13.00978,77.56
F2227,2227,Mobile theft,IPC 379,ST00042,Mangaluru,2026-02-08T15:12:00,2026-02-08T16:12:00,15,Open,crowd pickpocket,12.90733,74.84149
F2228,2228,Online fraud,"IT Act 66C, 66D; IPC 420",ST00020,Whitefield,2026-05-29T15:17:00,2026-05-30T19:17:00,15,Open,UPI request fraud,12.94696,77.72597
F2229,2229,House break-in,"IPC 457, 380",ST00008,Jayanagar,2026-05-10T01:58:00,2026-05-10T16:58:00,1,Under investigation,daytime recce break,12.95688,77.58956
F2230,2230,Mobile theft,IPC 379,ST00007,Jayanagar,2026-03-09T13:20:00,2026-03-10T19:20:00,13,Open,bus snatch,12.9083,77.54965
F2231,2231,Chain snatching,"IPC 379, 356",ST00006,Jayanagar,2026-06-08T22:49:00,2026-06-09T07:49:00,22,Under investigation,pillion-rider grab,12.91256,77.55165
F2232,2232,Vehicle theft,IPC 379,ST00003,BLR South,2026-06-20T00:07:00,2026-06-20T04:07:00,0,Under investigation,lock-break theft,12.87629,77.56091
F2233,2233,Chain snatching,"IPC 379, 356",ST00008,Jayanagar,2026-02-14T19:57:00,2026-02-15T23:57:00,19,Open,2-wheeler snatch,12.94093,77.59688
F2234,2234,Mobile theft,IPC 379,ST00023,KR Puram,2026-03-08T11:24:00,2026-03-09T07:24:00,11,Under investigation,crowd pickpocket,12.98502,77.66121
F2235,2235,Chain snatching,"IPC 379, 356",ST00040,Mangaluru,2026-03-27T20:00:00,2026-03-29T04:00:00,20,Under investigation,evening market snatch,12.89009,74.88175
F2236,2236,Burglary,"IPC 454, 457",ST00007,Jayanagar,2026-04-15T01:10:00,2026-04-15T22:10:00,1,Under investigation,ATM tamper,12.90915,77.56232
F2237,2237,Mobile theft,IPC 379,ST00029,Yelahanka,2026-04-10T17:59:00,2026-04-11T03:59:00,17,Charge-sheeted,bus snatch,13.11013,77.57551
F2238,2238,Assault,"IPC 323, 324",ST00020,Whitefield,2026-05-02T17:53:00,2026-05-03T04:53:00,17,Under investigation,domestic dispute,12.95004,77.7251
F2239,2239,Mobile theft,IPC 379,ST00032,Electronic City,2026-02-07T16:15:00,2026-02-08T10:15:00,16,Under investigation,bus snatch,12.85379,77.68442
F2240,2240,Online fraud,"IT Act 66C, 66D; IPC 420",ST00020,Whitefield,2026-02-11T18:16:00,2026-02-12T06:16:00,18,Open,fake KYC call,12.95909,77.73033
F2241,2241,Online fraud,"IT Act 66C, 66D; IPC 420",ST00014,Rajajinagar,2026-05-16T12:29:00,2026-05-16T13:29:00,12,Charge-sheeted,fake KYC call,12.98672,77.5292
F2242,2242,Online fraud,"IT Act 66C, 66D; IPC 420",ST00039,Mysuru,2026-03-12T15:51:00,2026-03-14T02:51:00,15,Open,fake KYC call,12.27194,76.62858
F2243,2243,Vehicle theft,IPC 379,ST00047,Hubballi,2026-01-22T01:11:00,2026-01-22T03:11:00,1,Open,duplicate-key theft,15.34518,75.11259
F2244,2244,Online fraud,"IT Act 66C, 66D; IPC 420",ST00038,Mysuru,2026-01-14T11:12:00,2026-01-14T15:12:00,11,Charge-sheeted,OTP scam,12.31608,76.64602
F2245,2245,Chain snatching,"IPC 379, 356",ST00002,BLR South,2026-03-18T18:52:00,2026-03-19T10:52:00,18,Open,evening market snatch,12.92053,77.60551
F2246,2246,Cheating,IPC 420,ST00011,BTM,2026-06-25T09:39:00,2026-06-26T18:39:00,9,Open,advance-fee fraud,12.93934,77.64602
F2247,2247,Chain snatching,"IPC 379, 356",ST00006,Jayanagar,2026-02-22T19:21:00,2026-02-23T17:21:00,19,Under investigation,evening market snatch,12.91281,77.55878
F2248,2248,Mobile theft,IPC 379,ST00034,Electronic City,2026-01-15T18:14:00,2026-01-16T02:14:00,18,Charge-sheeted,crowd pickpocket,12.85245,77.68001
F2249,2249,Vehicle theft,IPC 379,ST00030,Electronic City,2026-05-18T02:31:00,2026-05-18T17:31:00,2,Open,duplicate-key theft,12.82036,77.66787
F2250,2250,House break-in,"IPC 457, 380",ST00025,KR Puram,2026-05-09T01:00:00,2026-05-09T18:00:00,1,Under investigation,lock tampering,12.98697,77.70111
F2251,2251,Chain snatching,"IPC 379, 356",ST00029,Yelahanka,2026-06-21T20:35:00,2026-06-23T02:35:00,20,Open,evening market snatch,13.0999,77.56416
F2252,2252,Chain snatching,"IPC 379, 356",ST00042,Mangaluru,2026-06-28T19:56:00,2026-06-29T01:56:00,19,Open,evening market snatch,12.90316,74.84484
F2253,2253,Chain snatching,"IPC 379, 356",ST00005,BLR South,2026-03-08T19:18:00,2026-03-09T03:18:00,19,Under investigation,2-wheeler snatch,12.89479,77.59113
F2254,2254,Chain snatching,"IPC 379, 356",ST00029,Yelahanka,2026-01-20T19:20:00,2026-01-20T22:20:00,19,Open,pillion-rider grab,13.10869,77.56392
F2255,2255,Mobile theft,IPC 379,ST00015,Rajajinagar,2026-06-20T16:55:00,2026-06-21T07:55:00,16,Open,crowd pickpocket,12.96807,77.57204
F2256,2256,Vehicle theft,IPC 379,ST00012,BTM,2026-05-10T03:50:00,2026-05-10T11:50:00,3,Open,lock-break theft,12.91385,77.60362
F2257,2257,Chain snatching,"IPC 379, 356",ST00042,Mangaluru,2026-05-25T18:32:00,2026-05-26T16:32:00,18,Open,2-wheeler snatch,12.90838,74.85549
F2258,2258,Chain snatching,"IPC 379, 356",ST00020,Whitefield,2026-04-22T20:53:00,2026-04-23T14:53:00,20,Open,pillion-rider grab,12.95526,77.72553
F2259,2259,Mobile theft,IPC 379,ST00025,KR Puram,2026-03-09T19:30:00,2026-03-10T10:30:00,19,Under investigation,shop-counter lift,12.98431,77.6877
F2260,2260,Vehicle theft,IPC 379,ST00007,Jayanagar,2026-05-09T03:45:00,2026-05-09T15:45:00,3,Open,lock-break theft,12.90681,77.55245
F2261,2261,Assault,"IPC 323, 324",ST00004,BLR South,2026-04-17T18:16:00,2026-04-17T19:16:00,18,Open,bar brawl,12.91733,77.59584
F2262,2262,Mobile theft,IPC 379,ST00049,Belagavi,2026-04-02T14:08:00,2026-04-04T00:08:00,14,Open,shop-counter lift,15.84343,74.48714
F2263,2263,Burglary,"IPC 454, 457",ST00029,Yelahanka,2026-06-23T00:11:00,2026-06-23T22:11:00,0,Under investigation,shutter-break,13.09565,77.56332
F2264,2264,Burglary,"IPC 454, 457",ST00026,KR Puram,2026-04-26T00:16:00,2026-04-26T21:16:00,0,Open,ATM tamper,13.03302,77.70988
F2265,2265,Vehicle theft,IPC 379,ST00019,Whitefield,2026-04-22T23:37:00,2026-04-23T01:37:00,23,Open,parking-lot lift,12.97452,77.75064
F2266,2266,Chain snatching,"IPC 379, 356",ST00002,BLR South,2026-02-14T21:09:00,2026-02-15T04:09:00,21,Open,2-wheeler snatch,12.92732,77.62013
F2267,2267,Chain snatching,"IPC 379, 356",ST00009,BTM,2026-03-17T22:39:00,2026-03-18T22:39:00,22,Open,pillion-rider grab,12.90147,77.59567
F2268,2268,Chain snatching,"IPC 379, 356",ST00010,BTM,2026-01-08T21:47:00,2026-01-10T09:47:00,21,Open,pillion-rider grab,12.91833,77.62022
F2269,2269,Assault,"IPC 323, 324",ST00033,Electronic City,2026-01-05T17:51:00,2026-01-06T19:51:00,17,Charge-sheeted,bar brawl,12.82122,77.67347
F2270,2270,Assault,"IPC 323, 324",ST00011,BTM,2026-03-13T19:36:00,2026-03-14T03:36:00,19,Charge-sheeted,bar brawl,12.92958,77.63468
F2271,2271,Cheating,IPC 420,ST00024,KR Puram,2026-01-16T14:56:00,2026-01-18T02:56:00,14,Open,advance-fee fraud,13.00972,77.71228
F2272,2272,Chain snatching,"IPC 379, 356",ST00006,Jayanagar,2026-05-27T21:52:00,2026-05-28T12:52:00,21,Open,2-wheeler snatch,12.91639,77.56478
F2273,2273,Vehicle theft,IPC 379,ST00012,BTM,2026-02-12T02:41:00,2026-02-13T01:41:00,2,Charge-sheeted,parking-lot lift,12.9126,77.60967
F2274,2274,House break-in,"IPC 457, 380",ST00018,Whitefield,2026-04-18T02:31:00,2026-04-19T05:31:00,2,Under investigation,rear-window entry,12.94605,77.77748
F2275,2275,Chain snatching,"IPC 379, 356",ST00007,Jayanagar,2026-03-18T18:39:00,2026-03-19T12:39:00,18,Open,evening market snatch,12.91384,77.5575
F2276,2276,Chain snatching,"IPC 379, 356",ST00010,BTM,2026-04-02T19:02:00,2026-04-03T19:02:00,19,Charge-sheeted,pillion-rider grab,12.92152,77.63174
F2277,2277,Vehicle theft,IPC 379,ST00051,Belagavi,2026-01-09T03:54:00,2026-01-10T12:54:00,3,Under investigation,parking-lot lift,15.85483,74.50811
F2278,2278,Assault,"IPC 323, 324",ST00043,Mangaluru,2026-02-03T16:51:00,2026-02-04T15:51:00,16,Under investigation,domestic dispute,12.91312,74.8763
F2279,2279,Cheating,IPC 420,ST00043,Mangaluru,2026-03-22T18:38:00,2026-03-23T03:38:00,18,Charge-sheeted,fake job offer,12.9052,74.88274
F2280,2280,Chain snatching,"IPC 379, 356",ST00004,BLR South,2026-02-16T20:49:00,2026-02-17T02:49:00,20,Under investigation,pillion-rider grab,12.91051,77.61268
F2281,2281,Mobile theft,IPC 379,ST00017,Rajajinagar,2026-02-02T15:54:00,2026-02-03T22:54:00,15,Open,shop-counter lift,13.01637,77.57089
F2282,2282,Mobile theft,IPC 379,ST00014,Rajajinagar,2026-01-02T13:37:00,2026-01-04T00:37:00,13,Charge-sheeted,bus snatch,12.99954,77.5301
F2283,2283,Assault,"IPC 323, 324",ST00022,KR Puram,2026-03-23T19:17:00,2026-03-24T04:17:00,19,Open,domestic dispute,12.97526,77.71461
F2284,2284,Chain snatching,"IPC 379, 356",ST00034,Electronic City,2026-02-02T20:44:00,2026-02-03T05:44:00,20,Open,2-wheeler snatch,12.85394,77.67369
F2285,2285,Cheating,IPC 420,ST00041,Mangaluru,2026-01-02T17:49:00,2026-01-04T00:49:00,17,Under investigation,investment scam,12.88389,74.82952
F2286,2286,House break-in,"IPC 457, 380",ST00022,KR Puram,2026-04-02T01:03:00,2026-04-02T23:03:00,1,Under investigation,daytime recce break,12.98647,77.72905
F2287,2287,Cheating,IPC 420,ST00051,Belagavi,2026-05-16T17:53:00,2026-05-17T04:53:00,17,Charge-sheeted,investment scam,15.86312,74.50665
F2288,2288,Mobile theft,IPC 379,ST00013,BTM,2026-02-13T14:19:00,2026-02-14T11:19:00,14,Under investigation,crowd pickpocket,12.91792,77.59041
F2289,2289,Vehicle theft,IPC 379,ST00048,Hubballi,2026-02-13T01:28:00,2026-02-14T13:28:00,1,Open,parking-lot lift,15.34671,75.1298
F2290,2290,Chain snatching,"IPC 379, 356",ST00044,Mangaluru,2026-02-14T18:00:00,2026-02-15T21:00:00,18,Open,evening market snatch,12.89345,74.85107
F2291,2291,Mobile theft,IPC 379,ST00015,Rajajinagar,2026-01-18T15:53:00,2026-01-18T18:53:00,15,Open,crowd pickpocket,12.97849,77.56652
F2292,2292,Chain snatching,"IPC 379, 356",ST00030,Electronic City,2026-01-23T21:14:00,2026-01-23T22:14:00,21,Under investigation,pillion-rider grab,12.82847,77.68439
F2293,2293,Mobile theft,IPC 379,ST00048,Hubballi,2026-01-15T13:27:00,2026-01-16T15:27:00,13,Open,shop-counter lift,15.34201,75.13097
F2294,2294,Chain snatching,"IPC 379, 356",ST00029,Yelahanka,2026-02-07T18:43:00,2026-02-08T08:43:00,18,Charge-sheeted,2-wheeler snatch,13.10619,77.55867
F2295,2295,Burglary,"IPC 454, 457",ST00019,Whitefield,2026-02-21T03:06:00,2026-02-22T02:06:00,3,Open,godown break-in,12.97166,77.74872
F2296,2296,Mobile theft,IPC 379,ST00027,Yelahanka,2026-04-19T15:13:00,2026-04-20T10:13:00,15,Open,crowd pickpocket,13.1225,77.58801
F2297,2297,Chain snatching,"IPC 379, 356",ST00007,Jayanagar,2026-06-08T19:36:00,2026-06-09T07:36:00,19,Open,2-wheeler snatch,12.89638,77.54917
F2298,2298,Cheating,IPC 420,ST00010,BTM,2026-03-10T14:27:00,2026-03-11T03:27:00,14,Under investigation,investment scam,12.92609,77.62124
F2299,2299,Mobile theft,IPC 379,ST00012,BTM,2026-05-24T15:02:00,2026-05-25T21:02:00,15,Open,shop-counter lift,12.91149,77.61132
F2300,2300,Vehicle theft,IPC 379,ST00025,KR Puram,2026-03-10T03:05:00,2026-03-10T21:05:00,3,Open,parking-lot lift,12.99516,77.70245
F2301,2301,Mobile theft,IPC 379,ST00021,Whitefield,2026-06-15T12:26:00,2026-06-16T07:26:00,12,Open,shop-counter lift,12.99394,77.74616
F2302,2302,House break-in,"IPC 457, 380",ST00032,Electronic City,2026-04-17T03:57:00,2026-04-18T09:57:00,3,Open,lock tampering,12.86782,77.67798
F2303,2303,Mobile theft,IPC 379,ST00044,Mangaluru,2026-01-09T18:09:00,2026-01-11T01:09:00,18,Charge-sheeted,crowd pickpocket,12.89612,74.85058
F2304,2304,House break-in,"IPC 457, 380",ST00003,BLR South,2026-03-02T03:26:00,2026-03-02T06:26:00,3,Open,rear-window entry,12.87647,77.56058
F2305,2305,Online fraud,"IT Act 66C, 66D; IPC 420",ST00046,Hubballi,2026-01-06T10:30:00,2026-01-07T22:30:00,10,Charge-sheeted,OTP scam,15.36272,75.13215
F2306,2306,Cheating,IPC 420,ST00034,Electronic City,2026-06-15T14:27:00,2026-06-16T04:27:00,14,Under investigation,investment scam,12.85744,77.68513
F2307,2307,Cheating,IPC 420,ST00051,Belagavi,2026-06-27T17:55:00,2026-06-29T00:55:00,17,Charge-sheeted,fake job offer,15.86397,74.49874
F2308,2308,Chain snatching,"IPC 379, 356",ST00008,Jayanagar,2026-04-27T22:16:00,2026-04-29T02:16:00,22,Under investigation,2-wheeler snatch,12.94933,77.59181
F2309,2309,Mobile theft,IPC 379,ST00013,BTM,2026-06-23T14:30:00,2026-06-24T02:30:00,14,Under investigation,shop-counter lift,12.919,77.58417
F2310,2310,Mobile theft,IPC 379,ST00023,KR Puram,2026-03-01T18:05:00,2026-03-01T19:05:00,18,Under investigation,bus snatch,12.97766,77.65626
F2311,2311,House break-in,"IPC 457, 380",ST00046,Hubballi,2026-01-23T01:49:00,2026-01-23T22:49:00,1,Open,daytime recce break,15.36005,75.12413
F2312,2312,Burglary,"IPC 454, 457",ST00041,Mangaluru,2026-01-17T04:21:00,2026-01-18T09:21:00,4,Open,godown break-in,12.87921,74.83403
F2313,2313,Mobile theft,IPC 379,ST00019,Whitefield,2026-01-14T12:09:00,2026-01-15T18:09:00,12,Under investigation,crowd pickpocket,12.97762,77.74378
F2314,2314,Assault,"IPC 323, 324",ST00039,Mysuru,2026-01-14T20:24:00,2026-01-15T06:24:00,20,Charge-sheeted,domestic dispute,12.27406,76.61783
F2315,2315,Burglary,"IPC 454, 457",ST00012,BTM,2026-06-11T03:02:00,2026-06-11T07:02:00,3,Open,ATM tamper,12.91539,77.59783
F2316,2316,Chain snatching,"IPC 379, 356",ST00029,Yelahanka,2026-02-14T20:55:00,2026-02-15T16:55:00,20,Under investigation,pillion-rider grab,13.10551,77.55698
F2317,2317,Burglary,"IPC 454, 457",ST00012,BTM,2026-06-11T00:05:00,2026-06-12T03:05:00,0,Under investigation,godown break-in,12.92155,77.61091
F2318,2318,Chain snatching,"IPC 379, 356",ST00035,Mysuru,2026-05-16T18:53:00,2026-05-17T10:53:00,18,Under investigation,pillion-rider grab,12.30073,76.68196
F2319,2319,Vehicle theft,IPC 379,ST00019,Whitefield,2026-03-25T23:24:00,2026-03-26T11:24:00,23,Under investigation,duplicate-key theft,12.9893,77.74735
F2320,2320,Vehicle theft,IPC 379,ST00047,Hubballi,2026-02-25T00:38:00,2026-02-25T06:38:00,0,Charge-sheeted,lock-break theft,15.3633,75.10953
F2321,2321,Cheating,IPC 420,ST00049,Belagavi,2026-03-05T16:24:00,2026-03-05T17:24:00,16,Open,investment scam,15.83156,74.48135
F2322,2322,Mobile theft,IPC 379,ST00035,Mysuru,2026-06-29T18:52:00,2026-06-30T18:52:00,18,Under investigation,bus snatch,12.31318,76.68623
F2323,2323,Mobile theft,IPC 379,ST00009,BTM,2026-04-01T18:36:00,2026-04-03T02:36:00,18,Open,bus snatch,12.89026,77.60184
F2324,2324,Online fraud,"IT Act 66C, 66D; IPC 420",ST00044,Mangaluru,2026-04-15T10:37:00,2026-04-15T19:37:00,10,Open,fake KYC call,12.89592,74.85807
F2325,2325,Online fraud,"IT Act 66C, 66D; IPC 420",ST00027,Yelahanka,2026-02-12T18:36:00,2026-02-13T03:36:00,18,Open,fake KYC call,13.11408,77.58974
F2326,2326,Online fraud,"IT Act 66C, 66D; IPC 420",ST00044,Mangaluru,2026-06-18T18:37:00,2026-06-20T06:37:00,18,Open,fake KYC call,12.89961,74.86308
F2327,2327,Mobile theft,IPC 379,ST00027,Yelahanka,2026-03-19T15:15:00,2026-03-21T01:15:00,15,Open,shop-counter lift,13.12507,77.58656
F2328,2328,Burglary,"IPC 454, 457",ST00040,Mangaluru,2026-02-09T00:25:00,2026-02-09T02:25:00,0,Open,shutter-break,12.87622,74.86346
F2329,2329,Cheating,IPC 420,ST00007,Jayanagar,2026-06-16T09:14:00,2026-06-17T04:14:00,9,Under investigation,advance-fee fraud,12.89697,77.55181
F2330,2330,Assault,"IPC 323, 324",ST00031,Electronic City,2026-01-09T22:39:00,2026-01-10T19:39:00,22,Under investigation,bar brawl,12.84188,77.66417
F2331,2331,Vehicle theft,IPC 379,ST00051,Belagavi,2026-02-08T01:33:00,2026-02-08T16:33:00,1,Open,lock-break theft,15.84975,74.51109
F2332,2332,Online fraud,"IT Act 66C, 66D; IPC 420",ST00013,BTM,2026-05-20T14:41:00,2026-05-21T16:41:00,14,Under investigation,OTP scam,12.90391,77.59575
F2333,2333,Burglary,"IPC 454, 457",ST00029,Yelahanka,2026-03-27T05:09:00,2026-03-28T00:09:00,5,Under investigation,shutter-break,13.09665,77.57229
F2334,2334,Mobile theft,IPC 379,ST00042,Mangaluru,2026-04-14T11:00:00,2026-04-15T19:00:00,11,Under investigation,crowd pickpocket,12.9137,74.83818
F2335,2335,Online fraud,"IT Act 66C, 66D; IPC 420",ST00002,BLR South,2026-06-27T18:53:00,2026-06-27T23:53:00,18,Under investigation,UPI request fraud,12.92029,77.60773
F2336,2336,Burglary,"IPC 454, 457",ST00021,Whitefield,2026-03-15T00:38:00,2026-03-15T18:38:00,0,Under investigation,shutter-break,12.9837,77.75489
F2337,2337,Burglary,"IPC 454, 457",ST00004,BLR South,2026-04-16T04:04:00,2026-04-16T09:04:00,4,Under investigation,ATM tamper,12.90435,77.61134
F2338,2338,Burglary,"IPC 454, 457",ST00013,BTM,2026-06-01T02:05:00,2026-06-02T01:05:00,2,Open,godown break-in,12.90295,77.59885
F2339,2339,Cheating,IPC 420,ST00051,Belagavi,2026-01-25T16:57:00,2026-01-26T09:57:00,16,Open,advance-fee fraud,15.85698,74.49975
F2340,2340,Mobile theft,IPC 379,ST00003,BLR South,2026-01-03T11:15:00,2026-01-04T07:15:00,11,Open,bus snatch,12.87425,77.56115
F2341,2341,Online fraud,"IT Act 66C, 66D; IPC 420",ST00010,BTM,2026-01-21T12:01:00,2026-01-22T13:01:00,12,Open,OTP scam,12.92998,77.62704
F2342,2342,Burglary,"IPC 454, 457",ST00045,Hubballi,2026-06-18T04:34:00,2026-06-18T05:34:00,4,Open,godown break-in,15.32897,75.11982
F2343,2343,Online fraud,"IT Act 66C, 66D; IPC 420",ST00015,Rajajinagar,2026-03-02T15:46:00,2026-03-03T00:46:00,15,Open,OTP scam,12.9783,77.57489
F2344,2344,Cheating,IPC 420,ST00028,Yelahanka,2026-01-11T18:46:00,2026-01-13T06:46:00,18,Under investigation,fake job offer,13.08142,77.55101
F2345,2345,Online fraud,"IT Act 66C, 66D; IPC 420",ST00051,Belagavi,2026-03-14T10:05:00,2026-03-14T23:05:00,10,Under investigation,OTP scam,15.86535,74.50001
F2346,2346,Vehicle theft,IPC 379,ST00045,Hubballi,2026-01-29T03:41:00,2026-01-29T06:41:00,3,Open,duplicate-key theft,15.34179,75.1193
F2347,2347,Online fraud,"IT Act 66C, 66D; IPC 420",ST00033,Electronic City,2026-03-11T13:45:00,2026-03-12T08:45:00,13,Under investigation,UPI request fraud,12.82265,77.67381
F2348,2348,Chain snatching,"IPC 379, 356",ST00007,Jayanagar,2026-04-10T22:04:00,2026-04-11T20:04:00,22,Under investigation,evening market snatch,12.90101,77.56333
F2349,2349,Burglary,"IPC 454, 457",ST00023,KR Puram,2026-01-04T03:47:00,2026-01-04T08:47:00,3,Under investigation,godown break-in,12.96578,77.66031
F2350,2350,Mobile theft,IPC 379,ST00003,BLR South,2026-01-14T11:15:00,2026-01-15T13:15:00,11,Open,bus snatch,12.88849,77.56304
F2351,2351,Vehicle theft,IPC 379,ST00005,BLR South,2026-05-20T00:07:00,2026-05-20T14:07:00,0,Under investigation,parking-lot lift,12.8856,77.58866
F2352,2352,Chain snatching,"IPC 379, 356",ST00017,Rajajinagar,2026-04-05T22:29:00,2026-04-06T22:29:00,22,Open,2-wheeler snatch,13.0108,77.57479
F2353,2353,Assault,"IPC 323, 324",ST00032,Electronic City,2026-06-19T20:16:00,2026-06-20T05:16:00,20,Open,bar brawl,12.86766,77.68915
F2354,2354,Online fraud,"IT Act 66C, 66D; IPC 420",ST00043,Mangaluru,2026-03-31T17:22:00,2026-04-01T07:22:00,17,Open,fake KYC call,12.91759,74.87136
F2355,2355,Chain snatching,"IPC 379, 356",ST00043,Mangaluru,2026-01-14T21:44:00,2026-01-15T22:44:00,21,Open,pillion-rider grab,12.9044,74.8718
F2356,2356,Cheating,IPC 420,ST00027,Yelahanka,2026-02-03T10:22:00,2026-02-04T10:22:00,10,Under investigation,fake job offer,13.10754,77.58951
F2357,2357,Burglary,"IPC 454, 457",ST00028,Yelahanka,2026-01-25T00:27:00,2026-01-25T23:27:00,0,Under investigation,ATM tamper,13.07073,77.55277
F2358,2358,Mobile theft,IPC 379,ST00018,Whitefield,2026-04-07T16:46:00,2026-04-08T06:46:00,16,Open,bus snatch,12.95655,77.78632
F2359,2359,Online fraud,"IT Act 66C, 66D; IPC 420",ST00048,Hubballi,2026-04-22T13:59:00,2026-04-23T15:59:00,13,Under investigation,fake KYC call,15.3381,75.12988
F2360,2360,Online fraud,"IT Act 66C, 66D; IPC 420",ST00033,Electronic City,2026-05-21T16:23:00,2026-05-21T20:23:00,16,Under investigation,OTP scam,12.82336,77.68656
F2361,2361,Assault,"IPC 323, 324",ST00045,Hubballi,2026-05-25T16:10:00,2026-05-26T16:10:00,16,Open,street altercation,15.33016,75.12287
F2362,2362,Chain snatching,"IPC 379, 356",ST00043,Mangaluru,2026-03-16T19:02:00,2026-03-18T07:02:00,19,Charge-sheeted,pillion-rider grab,12.90715,74.86668
F2363,2363,House break-in,"IPC 457, 380",ST00011,BTM,2026-02-12T01:30:00,2026-02-12T12:30:00,1,Open,daytime recce break,12.94373,77.64214
F2364,2364,Vehicle theft,IPC 379,ST00001,BLR South,2026-04-19T01:12:00,2026-04-19T13:12:00,1,Under investigation,duplicate-key theft,12.91726,77.58392
