link_id,fir_id,person_id,role
CP00266,F2306,P00838,accused
CP00267,F2307,P02612,complainant
CP00268,F2307,P00090,victim
CP00269,F2307,P02609,accused
CP00270,F2308,P02963,complainant
CP00271,F2308,P01668,victim
CP00272,F2309,P02321,complainant
CP00273,F2309,P02010,accused
CP00274,F2309,P00492,accused
CP00275,F2310,P02406,complainant
CP00276,F2310,P00124,victim
CP00277,F2311,P01157,complainant
CP00278,F2311,P02317,victim
CP00279,F2311,P01715,accused
CP00280,F2312,P00666,complainant
CP00281,F2313,P00023,complainant
CP00282,F2313,P01544,victim
CP00283,F2313,P01111,accused
CP00284,F2313,P02717,accused
CP00285,F2314,P00819,complainant
CP00286,F2314,P00469,accused
CP00287,F2315,P02624,complainant
CP00288,F2315,P00269,accused
CP00289,F2315,P01861,accused
CP00290,F2316,P00079,complainant
CP00291,F2316,P02115,victim
CP00292,F2316,P02374,accused
CP00293,F2317,P02946,complainant
CP00294,F2317,P01577,victim
CP00295,F2317,P00703,accused
CP00296,F2317,P01935,accused
CP00297,F2318,P00718,complainant
CP00298,F2318,P02755,accused
CP00299,F2319,P01985,complainant
CP00300,F2320,P01019,complainant
CP00301,F2320,P02259,victim
CP00302,F2320,P02335,accused
CP00303,F2320,P01849,accused
CP00304,F2321,P02826,complainant
CP00305,F2321,P01442,victim
CP00306,F2322,P01639,complainant
CP00307,F2323,P01684,complainant
CP00308,F2323,P00810,victim
CP00309,F2323,P00946,accused
CP00310,F2323,P01753,accused
CP00311,F2324,P02731,complainant
CP00312,F2325,P02332,complainant
CP00313,F2325,P00725,victim
CP00314,F2326,P01638,complainant
CP00315,F2326,P01901,victim
CP00316,F2326,P01848,accused
CP00317,F2327,P02491,complainant
CP00318,F2328,P02697,complainant
CP00319,F2328,P01634,victim
CP00320,F2329,P00069,complainant
CP00321,F2329,P02355,victim
CP00322,F2329,P00624,accused
CP00323,F2330,P02733,complainant
CP00324,F2331,P01748,complainant
CP00325,F2331,P00420,victim
CP00326,F2331,P01070,accused
CP00327,F2332,P01008,complainant
CP00328,F2332,P00012,victim
CP00329,F2332,P01674,accused
CP00330,F2333,P01259,complainant
CP00331,F2333,P00494,victim
CP00332,F2333,P01303,accused
CP00333,F2334,P01433,complainant
CP00334,F2334,P01717,victim
CP00335,F2335,P00166,complainant
CP00336,F2335,P02998,victim
CP00337,F2336,P01704,complainant
CP00338,F2336,P01292,accused
CP00339,F2337,P02283,complainant
CP00340,F2337,P00368,accused
CP00341,F2337,P01980,accused
CP00342,F2338,P02287,complainant
CP00343,F2338,P02085,victim
CP00344,F2339,P02467,complainant
CP00345,F2339,P01632,victim
CP00346,F2340,P00076,complainant
CP00347,F2341,P00164,complainant
CP00348,F2341,P01523,victim
CP00349,F2341,P02229,accused
CP00350,F2341,P02272,accused
CP00351,F2342,P00371,complainant
CP00352,F2343,P01080,complainant
CP00353,F2343,P02078,accused
CP00354,F2344,P02784,complainant
CP00355,F2344,P02456,victim
CP00356,F2344,P00380,accused
CP00357,F2345,P00395,complainant
CP00358,F2345,P01130,victim
CP00359,F2345,P02298,accused
CP00360,F2346,P00651,complainant
CP00361,F2346,P01285,victim
CP00362,F2347,P02179,complainant
CP00363,F2347,P02781,victim
CP00364,F2347,P02624,accused
CP00365,F2348,P01991,complainant
CP00366,F2348,P00542,accused
CP00367,F2348,P01669,accused
CP00368,F2349,P02276,complainant
CP00369,F2350,P00530,complainant
CP00370,F2350,P02626,victim
CP00371,F2351,P00972,complainant
CP00372,F2351,P00587,victim
CP00373,F2352,P01608,complainant
CP00374,F2352,P02553,victim
CP00375,F2352,P01763,accused
CP00376,F2353,P01154,complainant
CP00377,F2353,P01350,victim
CP00378,F2354,P01664,complainant
CP00379,F2354,P00688,victim
CP00380,F2354,P02810,accused
CP00381,F2355,P00572,complainant
CP00382,F2355,P01733,victim
CP00383,F2356,P02789,complainant
CP00384,F2356,P01808,victim
CP00385,F2357,P01048,complainant
CP00386,F2357,P00857,victim
CP00387,F2358,P01916,complainant
CP00388,F2358,P01308,victim
CP00389,F2358,P00505,accused
CP00390,F2359,P02269,complainant
CP00391,F2359,P01321,victim
CP00392,F2359,P02028,accused
CP00393,F2360,P01942,complainant
CP00394,F2361,P00589,complainant
CP00395,F2361,P02473,victim
CP00396,F2361,P00872,accused
CP00397,F2362,P01618,complainant
CP00398,F2362,P01885,accused
CP00399,F2362,P01541,accused
CP00400,F2363,P00192,complainant
CP00401,F2363,P02810,victim
CP00402,F2364,P02027,complainant
CP00403,F2364,P02477,victim
CP00404,F2364,P00612,accused
CP00405,F2365,P00236,complainant
CP00406,F2365,P01788,accused
CP00407,F2366,P00875,complainant
CP00408,F2366,P00755,victim
CP00409,F2366,P01772,accused
CP00410,F2367,P02867,complainant
CP00411,F2367,P01646,accused
CP00412,F2367,P01224,accused
CP00413,F2368,P02556,complainant
CP00414,F2368,P01247,victim
CP00415,F2369,P01503,complainant
CP00416,F2369,P01754,victim
CP00417,F2369,P00565,accused
CP00418,F2370,P01653,complainant
CP00419,F2370,P01687,accused
CP00420,F2371,P02338,complainant
CP00421,F2371,P02353,victim
CP00422,F2371,P02901,accused
CP00423,F2372,P00059,complainant
CP00424,F2372,P02711,accused
CP00425,F2373,P02186,complainant
CP00426,F2374,P02864,complainant
CP00427,F2374,P00564,accused
CP00428,F2374,P00791,accused
CP00429,F2375,P02014,complainant
CP00430,F2375,P02103,victim
CP00431,F2375,P02156,accused
CP00432,F2376,P02996,complainant
CP00433,F2376,P02963,victim
CP00434,F2377,P01818,complainant
CP00435,F2377,P02324,victim
CP00436,F2377,P01585,accused
CP00437,F2378,P00343,complainant
CP00438,F2378,P00543,victim
CP00439,F2379,P01469,complainant
CP00440,F2380,P02175,complainant
CP00441,F2381,P01213,complainant
CP00442,F2381,P00827,victim
CP00443,F2382,P01005,complainant
CP00444,F2382,P00187,victim
CP00445,F2382,P01222,accused
CP00446,F2382,P01097,accused
CP00447,F2383,P01139,complainant
CP00448,F2383,P00871,victim
CP00449,F2384,P01118,complainant
CP00450,F2384,P00627,victim
CP00451,F2384,P00449,accused
CP00452,F2385,P00059,complainant
CP00453,F2385,P02041,victim
CP00454,F2385,P00913,accused
CP00455,F2386,P02666,complainant
CP00456,F2386,P00956,accused
CP00457,F2386,P00369,accused
CP00458,F2387,P02309,complainant
CP00459,F2387,P02724,victim
CP00460,F2387,P01171,accused
CP00461,F2388,P02141,complainant
CP00462,F2388,P00826,victim
CP00463,F2389,P01003,complainant
CP00464,F2389,P00901,victim
CP00465,F2390,P02115,complainant
CP00466,F2390,P01817,victim
CP00467,F2391,P01563,complainant
CP00468,F2391,P02307,accused
CP00469,F2392,P02559,complainant
CP00470,F2392,P02373,victim
CP00471,F2393,P00228,complainant
CP00472,F2393,P02262,victim
CP00473,F2394,P02231,complainant
CP00474,F2394,P02808,victim
CP00475,F2395,P02493,complainant
CP00476,F2395,P02569,victim
CP00477,F2396,P01633,complainant
CP00478,F2396,P00975,victim
CP00479,F2396,P02791,accused
CP00480,F2397,P00403,complainant
CP00481,F2397,P00549,victim
CP00482,F2397,P00109,accused
CP00483,F2398,P02415,complainant
CP00484,F2398,P01588,victim
CP00485,F2398,P00947,accused
CP00486,F2399,P02125,complainant
CP00487,F2399,P00923,victim
CP00488,F2399,P00783,accused
CP00489,F2399,P01386,accused
CP00490,F2400,P01304,complainant
CP00491,F2400,P00135,victim
CP00492,F2401,P02086,complainant
CP00493,F2401,P00429,victim
CP00494,F2401,P01276,accused
CP00495,F2401,P00262,accused
CP00496,F2402,P02572,complainant
CP00497,F2402,P02187,victim
CP00498,F2402,P00154,accused
CP00499,F2403,P01463,complainant
CP00500,F2403,P01196,victim
CP00501,F2404,P02512,complainant
CP00502,F2404,P00896,victim
CP00503,F2404,P02073,accused
CP00504,F2405,P02292,complainant
CP00505,F2405,P00854,victim
CP00506,F2405,P00560,accused
CP00507,F2406,P01528,complainant
CP00508,F2406,P01422,victim
CP00509,F2406,P01042,accused
CP00510,F2407,P00502,complainant
CP00511,F2407,P02590,victim
CP00512,F2407,P02232,accused
CP00513,F2408,P00662,complainant
CP00514,F2409,P01584,complainant
CP00515,F2409,P00240,victim
CP00516,F2409,P01046,accused
CP00517,F2410,P00825,complainant
CP00518,F2410,P00118,victim
CP00519,F2410,P01740,accused
CP00520,F2411,P01703,complainant
CP00521,F2411,P01883,victim
CP00522,F2412,P00132,complainant
CP00523,F2412,P00525,victim
CP00524,F2413,P01467,complainant
CP00525,F2413,P00067,victim
CP00526,F2414,P01436,complainant
CP00527,F2414,P01246,victim
CP00528,F2414,P01477,accused
CP00529,F2414,P01779,accused
CP00530,F2415,P01462,complainant
CP00531,F2415,P02634,victim
CP00532,F2416,P00185,complainant
CP00533,F2416,P02243,victim
CP00534,F2417,P01971,complainant
CP00535,F2417,P02185,victim
CP00536,F2417,P00937,accused
CP00537,F2417,P02346,accused
CP00538,F2418,P00610,complainant
CP00539,F2418,P00469,victim
CP00540,F2419,P01170,complainant
CP00541,F2419,P02030,victim
CP00542,F2419,P01741,accused
CP00543,F2420,P01330,complainant
CP00544,F2420,P00266,victim
CP00545,F2421,P02585,complainant
CP00546,F2421,P01734,victim
CP00547,F2422,P02956,complainant
CP00548,F2422,P01079,victim
CP00549,F2423,P01373,complainant
CP00550,F2424,P01049,complainant
CP00551,F2424,P02412,victim
CP00552,F2424,P00079,accused
CP00553,F2425,P00535,complainant
CP00554,F2425,P00722,victim
CP00555,F2426,P02359,complainant
CP00556,F2426,P00934,victim
CP00557,F2426,P01490,accused
CP00558,F2427,P01223,complainant
CP00559,F2427,P01221,victim
CP00560,F2427,P01754,accused
CP00561,F2428,P01014,complainant
CP00562,F2428,P01859,victim
CP00563,F2428,P01940,accused
CP00564,F2429,P00378,complainant
CP00565,F2429,P00728,victim
CP00566,F2429,P01656,accused
CP00567,F2429,P01520,accused
CP00568,F2430,P01706,complainant
CP00569,F2430,P01092,victim
CP00570,F2430,P01514,accused
CP00571,F2431,P01671,complainant
CP00572,F2431,P02597,victim
CP00573,F2431,P02362,accused
CP00574,F2431,P02259,accused
CP00575,F2432,P00336,complainant
CP00576,F2432,P01875,victim
CP00577,F2432,P02859,accused
CP00578,F2432,P01714,accused
CP00579,F2433,P02367,complainant
CP00580,F2433,P00415,victim
CP00581,F2434,P00920,complainant
CP00582,F2434,P02049,victim
CP00583,F2435,P01932,complainant
CP00584,F2435,P00017,victim
CP00585,F2435,P01122,accused
CP00586,F2435,P02197,accused
CP00587,F2436,P00805,complainant
CP00588,F2436,P01220,victim
CP00589,F2436,P01811,accused
CP00590,F2437,P02449,complainant
CP00591,F2437,P00569,victim
CP00592,F2437,P02397,accused
CP00593,F2438,P00744,complainant
CP00594,F2438,P02878,victim
CP00595,F2438,P02944,accused
CP00596,F2438,P01197,accused
CP00597,F2439,P01596,complainant
CP00598,F2439,P01434,victim
CP00599,F2439,P02340,accused
CP00600,F2440,P01975,complainant
CP00601,F2440,P00841,victim
CP00602,F2440,P01121,accused
CP00603,F2440,P02186,accused
CP00604,F2441,P00303,complainant
CP00605,F2441,P00374,accused
CP00606,F2441,P00425,accused
CP00607,F2442,P00159,complainant
CP00608,F2442,P02302,victim
CP00609,F2442,P01709,accused
CP00610,F2443,P00822,complainant
CP00611,F2443,P01349,victim
CP00612,F2444,P02424,complainant
CP00613,F2444,P02227,victim
CP00614,F2445,P00555,complainant
CP00615,F2445,P01901,victim
CP00616,F2445,P00018,accused
CP00617,F2446,P02489,complainant
CP00618,F2446,P01787,victim
CP00619,F2446,P02090,accused
CP00620,F2447,P00456,complainant
CP00621,F2447,P01553,victim
CP00622,F2448,P00211,complainant
CP00623,F2448,P02718,victim
CP00624,F2448,P02712,accused
CP00625,F2449,P01160,complainant
CP00626,F2449,P00267,victim
CP00627,F2449,P01911,accused
CP00628,F2449,P02392,accused
CP00629,F2450,P01513,complainant
CP00630,F2450,P02576,victim
CP00631,F2450,P01396,accused
CP00632,F2451,P01867,complainant
CP00633,F2451,P01656,victim
CP00634,F2452,P00912,complainant
CP00635,F2452,P01549,victim
CP00636,F2452,P01725,accused
CP00637,F2453,P02754,complainant
CP00638,F2453,P00411,victim
CP00639,F2453,P02197,accused
CP00640,F2454,P00635,complainant
CP00641,F2454,P02196,victim
CP00642,F2455,P01098,complainant
CP00643,F2455,P00475,victim
CP00644,F2456,P02635,complainant
CP00645,F2456,P00538,victim
CP00646,F2456,P00032,accused
CP00647,F2456,P01789,accused
CP00648,F2457,P00299,complainant
CP00649,F2457,P01230,victim
CP00650,F2458,P02687,complainant
CP00651,F2458,P01924,victim
CP00652,F2458,P01861,accused
CP00653,F2459,P02632,complainant
CP00654,F2459,P00103,victim
CP00655,F2459,P00932,accused
CP00656,F2460,P02359,complainant
CP00657,F2460,P01360,victim
CP00658,F2460,P01411,accused
CP00659,F2461,P01717,complainant
CP00660,F2461,P01761,victim
CP00661,F2461,P00201,accused
CP00662,F2462,P00986,complainant
CP00663,F2462,P01120,victim
CP00664,F2463,P00240,complainant
CP00665,F2463,P00901,victim
CP00666,F2463,P02098,accused
CP00667,F2464,P00739,complainant
CP00668,F2464,P00038,victim
CP00669,F2464,P02767,accused
CP00670,F2465,P01632,complainant
CP00671,F2465,P01342,victim
CP00672,F2465,P01292,accused
CP00673,F2466,P00980,complainant
CP00674,F2467,P01585,complainant
CP00675,F2467,P01145,victim
CP00676,F2468,P00569,complainant
CP00677,F2469,P00021,complainant
CP00678,F2469,P00517,victim
CP00679,F2469,P00136,accused
CP00680,F2470,P02397,complainant
CP00681,F2470,P02362,victim
CP00682,F2471,P01544,complainant
CP00683,F2471,P01395,victim
CP00684,F2472,P00585,complainant
CP00685,F2472,P01171,victim
CP00686,F2472,P01410,accused
CP00687,F2473,P01544,complainant
CP00688,F2473,P01180,victim
CP00689,F2473,P01819,accused
CP00690,F2474,P01754,complainant
CP00691,F2474,P01412,victim
CP00692,F2475,P00226,complainant
CP00693,F2475,P00304,victim
CP00694,F2475,P02560,accused
CP00695,F2476,P01008,complainant
CP00696,F2476,P00813,victim
CP00697,F2476,P00505,accused
CP00698,F2477,P00344,complainant
CP00699,F2477,P00624,victim
CP00700,F2477,P00789,accused
CP00701,F2478,P01412,complainant
CP00702,F2478,P02566,victim
CP00703,F2478,P01557,accused
CP00704,F2479,P01397,complainant
CP00705,F2479,P00572,accused
CP00706,F2479,P00169,accused
CP00707,F2480,P00592,complainant
CP00708,F2480,P01146,victim
CP00709,F2481,P01203,complainant
CP00710,F2481,P00655,victim
CP00711,F2482,P01716,complainant
CP00712,F2482,P02187,victim
CP00713,F2482,P00450,accused
CP00714,F2482,P00586,accused
CP00715,F2483,P02515,complainant
CP00716,F2483,P00883,victim
CP00717,F2484,P02022,complainant
CP00718,F2484,P02825,victim
CP00719,F2484,P02865,accused
CP00720,F2484,P02737,accused
CP00721,F2485,P01880,complainant
CP00722,F2485,P00943,victim
CP00723,F2485,P02170,accused
CP00724,F2486,P00263,complainant
CP00725,F2486,P01617,victim
CP00726,F2486,P02990,accused
CP00727,F2487,P00621,complainant
CP00728,F2487,P00201,victim
CP00729,F2487,P02950,accused
CP00730,F2487,P02769,accused
CP00731,F2488,P02361,complainant
CP00732,F2488,P02087,victim
CP00733,F2489,P01172,complainant
CP00734,F2489,P02456,accused
CP00735,F2489,P00546,accused
CP00736,F2490,P01533,complainant
CP00737,F2490,P02676,victim
CP00738,F2490,P00004,accused
CP00739,F2490,P00318,accused
CP00740,F2491,P02364,complainant
CP00741,F2491,P02983,victim
CP00742,F2491,P01171,accused
CP00743,F2492,P01353,complainant
CP00744,F2492,P02599,victim
CP00745,F2492,P01125,accused
CP00746,F2493,P02115,complainant
CP00747,F2494,P01659,complainant
CP00748,F2494,P02289,accused
CP00749,F2495,P01731,complainant
CP00750,F2495,P02330,victim
CP00751,F2495,P01579,accused
CP00752,F2496,P01364,complainant
CP00753,F2496,P01536,accused
CP00754,F2497,P02370,complainant
CP00755,F2497,P02086,victim
CP00756,F2498,P01987,complainant
CP00757,F2498,P00853,victim
CP00758,F2499,P02652,complainant
CP00759,F2499,P01298,victim
CP00760,F2500,P02230,complainant
CP00761,F2500,P00781,victim
CP00762,F2500,P00032,accused
CP00763,F2500,P02193,accused
CP00764,F2501,P01922,complainant
CP00765,F2501,P00475,victim
CP00766,F2502,P00036,complainant
CP00767,F2502,P00340,victim
CP00768,F2503,P01832,complainant
CP00769,F2504,P01634,complainant
CP00770,F2504,P01865,victim
CP00771,F2504,P00167,accused
CP00772,F2505,P01154,complainant
CP00773,F2505,P01556,accused
CP00774,F2505,P02795,accused
CP00775,F2506,P00055,complainant
CP00776,F2506,P01483,victim
CP00777,F2506,P01959,accused
CP00778,F2507,P00180,complainant
CP00779,F2507,P02904,victim
CP00780,F2507,P00621,accused
CP00781,F2508,P02279,complainant
CP00782,F2509,P01033,complainant
CP00783,F2509,P02912,victim
CP00784,F2509,P01693,accused
CP00785,F2510,P01670,complainant
CP00786,F2510,P00600,victim
CP00787,F2510,P00582,accused
CP00788,F2511,P02695,complainant
CP00789,F2511,P02237,victim
CP00790,F2512,P02670,complainant
CP00791,F2512,P00234,victim
CP00792,F2512,P02852,accused
CP00793,F2512,P02972,accused
CP00794,F2513,P00215,complainant
CP00795,F2513,P02438,victim
CP00796,F2513,P00271,accused
CP00797,F2514,P00265,complainant
CP00798,F2514,P02459,victim
CP00799,F2514,P02560,accused
CP00800,F2515,P02187,complainant
CP00801,F2516,P00016,complainant
CP00802,F2516,P00903,accused
CP00803,F2516,P00302,accused
CP00804,F2517,P02477,complainant
CP00805,F2517,P02064,victim
CP00806,F2518,P01962,complainant
CP00807,F2518,P00403,victim
CP00808,F2518,P01961,accused
CP00809,F2519,P02621,complainant
CP00810,F2519,P01645,victim
CP00811,F2520,P01331,complainant
CP00812,F2520,P02255,victim
CP00813,F2520,P02467,accused
CP00814,F2520,P02769,accused
CP00815,F2521,P01399,complainant
CP00816,F2521,P01968,victim
CP00817,F2521,P01777,accused
CP00818,F2522,P00297,complainant
CP00819,F2522,P01192,accused
CP00820,F2522,P00512,accused
CP00821,F2523,P01444,complainant
CP00822,F2524,P01105,complainant
CP00823,F2524,P02616,victim
CP00824,F2525,P00417,complainant
CP00825,F2525,P00615,victim
CP00826,F2526,P00664,complainant
CP00827,F2526,P00775,victim
CP00828,F2526,P00864,accused
CP00829,F2527,P01577,complainant
CP00830,F2527,P01735,victim
CP00831,F2528,P00377,complainant
CP00832,F2528,P01250,accused
CP00833,F2529,P00854,complainant
CP00834,F2529,P01245,victim
CP00835,F2530,P02106,complainant
CP00836,F2530,P01097,victim
CP00837,F2530,P01216,accused
CP00838,F2531,P01228,complainant
CP00839,F2531,P00985,victim
CP00840,F2532,P02298,complainant
CP00841,F2532,P02658,victim
CP00842,F2533,P00717,complainant
CP00843,F2533,P01643,victim
CP00844,F2533,P00034,accused
CP00845,F2534,P02418,complainant
CP00846,F2534,P02601,victim
CP00847,F2534,P01415,accused
CP00848,F2535,P00544,complainant
CP00849,F2535,P02606,victim
CP00850,F2536,P02801,complainant
CP00851,F2536,P02804,victim
CP00852,F2537,P01467,complainant
